Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Investigation of chemotherapy-induced brain structural alterations in breast cancer patients with generalized q-sampling MRI and graph theoretical analysis.","/pubmed/30514266","Li TY, Chen VC, Yeh DC, Huang SL, Chen CN, Chai JW, Chen CC, Weng JC.","BMC Cancer. 2018 Dec 4;18(1):1211. doi: 10.1186/s12885-018-5113-z.","BMC Cancer.  2018","PubMed","citation","PMID:30514266 | PMCID:PMC6280365","pubmed","30514266","create date:2018/12/06 | first author:Li TY",
"Performance and Function Meet Structure: A White Matter Connection Tuned for Vocal Production.","/pubmed/30430846","Sidtis JJ, Mubeen MA, Asaei A, Ardekani B, Van Lancker Sidtis D.","Brain Connect. 2018 Dec;8(10):628-636. doi: 10.1089/brain.2018.0627.","Brain Connect.  2018","PubMed","citation","PMID:30430846 | PMCID:PMC6308290","pubmed","30430846","create date:2018/11/16 | first author:Sidtis JJ",
"Establishing the cognitive signature of human brain networks derived from structural and functional connectivity.","/pubmed/30120553","Jung J, Visser M, Binney RJ, Lambon Ralph MA.","Brain Struct Funct. 2018 Dec;223(9):4023-4038. doi: 10.1007/s00429-018-1734-x. Epub 2018 Aug 17.","Brain Struct Funct.  2018","PubMed","citation","PMID:30120553 | PMCID:PMC6267264","pubmed","30120553","create date:2018/08/19 | first author:Jung J",
"Disease-related patterns of in vivo pathology in Corticobasal syndrome.","/pubmed/30090966","Niccolini F, Wilson H, Hirschbichler S, Yousaf T, Pagano G, Whittington A, Caminiti SP, Erro R, Holton JL, Jaunmuktane Z, Esposito M, Martino D, Abdul A, Passchier J, Rabiner EA, Gunn RN, Bhatia KP, Politis M; Alzheimer’s Disease Neuroimaging Initiative..","Eur J Nucl Med Mol Imaging. 2018 Dec;45(13):2413-2425. doi: 10.1007/s00259-018-4104-2. Epub 2018 Aug 8.","Eur J Nucl Med Mol Imaging.  2018","PubMed","citation","PMID:30090966 | PMCID:PMC6208819","pubmed","30090966","create date:2018/08/10 | first author:Niccolini F",
"Multi-modal brain fingerprinting: A manifold approximation based framework.","/pubmed/30099077","Kumar K, Toews M, Chauvin L, Colliot O, Desrosiers C.","Neuroimage. 2018 Dec;183:212-226. doi: 10.1016/j.neuroimage.2018.08.006. Epub 2018 Aug 9.","Neuroimage.  2018","PubMed","citation","PMID:30099077","pubmed","30099077","create date:2018/08/14 | first author:Kumar K",
"Prediction of Isocitrate Dehydrogenase Genotype in Brain Gliomas with MRI: Single-Shell versus Multishell Diffusion Models.","/pubmed/30277427","Figini M, Riva M, Graham M, Castelli GM, Fernandes B, Grimaldi M, Baselli G, Pessina F, Bello L, Zhang H, Bizzi A.","Radiology. 2018 Dec;289(3):788-796. doi: 10.1148/radiol.2018180054. Epub 2018 Oct 2.","Radiology.  2018","PubMed","citation","PMID:30277427","pubmed","30277427","create date:2018/10/03 | first author:Figini M",
"Spinal cord organogenesis model reveals role of Flk1(+) cells in self-organization of neural progenitor cells into complex spinal cord tissue.","/pubmed/30368192","Pan B, Ao H, Liu S, Xu Y, McDonald JW, Belegu V.","Stem Cell Res. 2018 Dec;33:156-165. doi: 10.1016/j.scr.2018.09.001. Epub 2018 Sep 6.","Stem Cell Res.  2018","PubMed","citation","PMID:30368192","pubmed","30368192","create date:2018/10/28 | first author:Pan B",
"Subspecialization within default mode nodes characterized in 10,000 UK Biobank participants.","/pubmed/30420501","Kernbach JM, Yeo BTT, Smallwood J, Margulies DS, Thiebaut de Schotten M, Walter H, Sabuncu MR, Holmes AJ, Gramfort A, Varoquaux G, Thirion B, Bzdok D.","Proc Natl Acad Sci U S A. 2018 Nov 27;115(48):12295-12300. doi: 10.1073/pnas.1804876115. Epub 2018 Nov 12.","Proc Natl Acad Sci U S A.  2018","PubMed","citation","PMID:30420501 | PMCID:PMC6275484","pubmed","30420501","create date:2018/11/14 | first author:Kernbach JM",
"Detectability of radiation-induced changes in magnetic resonance biomarkers following stereotactic radiosurgery: A pilot study.","/pubmed/30475887","Winter JD, Moraes FY, Chung C, Coolens C.","PLoS One. 2018 Nov 26;13(11):e0207933. doi: 10.1371/journal.pone.0207933. eCollection 2018.","PLoS One.  2018","PubMed","citation","PMID:30475887 | PMCID:PMC6258119","pubmed","30475887","create date:2018/11/27 | first author:Winter JD",
"Isolated Fornix Infarction with Damage to the Limbic System as a Cause of Persistent Amnesia: A Case Report.","/pubmed/30459298","Takano Y, Tatewaki Y, Mutoh T, Ohara Y, Yamamoto S, Taki Y.","Am J Case Rep. 2018 Nov 21;19:1382-1385. doi: 10.12659/AJCR.912508.","Am J Case Rep.  2018","PubMed","citation","PMID:30459298 | PMCID:PMC6266538","pubmed","30459298","create date:2018/11/22 | first author:Takano Y",
"Macro-connectomics and microstructure predict dynamic plasticity patterns in the non-human primate brain.","/pubmed/30462609","Froudist-Walsh S, Browning PG, Young JJ, Murphy KL, Mars RB, Fleysher L, Croxson PL.","Elife. 2018 Nov 21;7. pii: e34354. doi: 10.7554/eLife.34354.","Elife.  2018","PubMed","citation","PMID:30462609 | PMCID:PMC6249000","pubmed","30462609","create date:2018/11/22 | first author:Froudist-Walsh S",
"Investigation of Brain Impairment Using Diffusion-Weighted and Diffusion Tensor Magnetic Resonance Imaging in Experienced Healthy Divers.","/pubmed/30447152","Seyithanoğlu MH, Abdallah A, Dündar TT, Kitiş S, Aralaşmak A, Gündağ Papaker M, Sasani H.","Med Sci Monit. 2018 Nov 17;24:8279-8289. doi: 10.12659/MSM.911475.","Med Sci Monit.  2018","PubMed","citation","PMID:30447152 | PMCID:PMC6252049","pubmed","30447152","create date:2018/11/18 | first author:Seyithanoğlu MH",
"Developing 3D microscopy with CLARITY on human brain tissue: Towards a tool for informing and validating MRI-based histology.","/pubmed/29196268","Morawski M, Kirilina E, Scherf N, Jäger C, Reimann K, Trampel R, Gavriilidis F, Geyer S, Biedermann B, Arendt T, Weiskopf N.","Neuroimage. 2018 Nov 15;182:417-428. doi: 10.1016/j.neuroimage.2017.11.060. Epub 2017 Nov 28.","Neuroimage.  2018","PubMed","citation","PMID:29196268 | PMCID:PMC6189522","pubmed","29196268","create date:2017/12/03 | first author:Morawski M",
"Association of Retinal Nerve Fiber Layer Thickness With Brain Alterations in the Visual and Limbic Networks in Elderly Adults Without Dementia.","/pubmed/30646353","Méndez-Gómez JL, Pelletier A, Rougier MB, Korobelnik JF, Schweitzer C, Delyfer MN, Catheline G, Monfermé S, Dartigues JF, Delcourt C, Helmer C.","JAMA Netw Open. 2018 Nov 2;1(7):e184406. doi: 10.1001/jamanetworkopen.2018.4406.","JAMA Netw Open.  2018","PubMed","citation","PMID:30646353 | PMCID:PMC6324371","pubmed","30646353","create date:2019/01/16 | first author:Méndez-Gómez JL",
"Dysfunctional effort-based decision-making underlies apathy in genetic cerebral small vessel disease.","/pubmed/30346491","Le Heron C, Manohar S, Plant O, Muhammed K, Griffanti L, Nemeth A, Douaud G, Markus HS, Husain M.","Brain. 2018 Nov 1;141(11):3193-3210. doi: 10.1093/brain/awy257.","Brain.  2018","PubMed","citation","PMID:30346491 | PMCID:PMC6202575","pubmed","30346491","create date:2018/10/23 | first author:Le Heron C",
"Multimodal PET/MRI Imaging Results Enable Monitoring the Side Effects of Radiation Therapy.","/pubmed/30515069","Kovács N, Szigeti K, Hegedűs N, Horváth I, Veres DS, Bachmann M, Bergmann R, Máthé D.","Contrast Media Mol Imaging. 2018 Nov 1;2018:5906471. doi: 10.1155/2018/5906471. eCollection 2018.","Contrast Media Mol Imaging.  2018","PubMed","citation","PMID:30515069 | PMCID:PMC6236670","pubmed","30515069","create date:2018/12/06 | first author:Kovács N",
"Extensive traumatic axonal injury of brain due to violence: A case report.","/pubmed/30508923","Jang SH, Kim SH, Kwon YH.","Medicine (Baltimore). 2018 Nov;97(48):e13315. doi: 10.1097/MD.0000000000013315.","Medicine (Baltimore).  2018","PubMed","citation","PMID:30508923 | PMCID:PMC6283135","pubmed","30508923","create date:2018/12/05 | first author:Jang SH",
"Morphometric analysis and neuroanatomical mapping of the zebrafish brain.","/pubmed/29936090","Gupta T, Marquart GD, Horstick EJ, Tabor KM, Pajevic S, Burgess HA.","Methods. 2018 Nov 1;150:49-62. doi: 10.1016/j.ymeth.2018.06.008. Epub 2018 Jun 21.","Methods.  2018","PubMed","citation","PMID:29936090 | PMCID:PMC6296225","pubmed","29936090","create date:2018/06/25 | first author:Gupta T",
"Trajectories of imaging markers in brain aging: the Rotterdam Study.","/pubmed/30077040","Vinke EJ, de Groot M, Venkatraghavan V, Klein S, Niessen WJ, Ikram MA, Vernooij MW.","Neurobiol Aging. 2018 Nov;71:32-40. doi: 10.1016/j.neurobiolaging.2018.07.001. Epub 2018 Jul 17.","Neurobiol Aging.  2018","PubMed","citation","PMID:30077040","pubmed","30077040","create date:2018/08/05 | first author:Vinke EJ",
"Probabilistic functional tractography of the human cortex revisited.","/pubmed/30025851","Trebaul L, Deman P, Tuyisenge V, Jedynak M, Hugues E, Rudrauf D, Bhattacharjee M, Tadel F, Chanteloup-Foret B, Saubat C, Reyes Mejia GC, Adam C, Nica A, Pail M, Dubeau F, Rheims S, Trébuchon A, Wang H, Liu S, Blauwblomme T, Garcés M, De Palma L, et al.","Neuroimage. 2018 Nov 1;181:414-429. doi: 10.1016/j.neuroimage.2018.07.039. Epub 2018 Jul 17.","Neuroimage.  2018","PubMed","citation","PMID:30025851 | PMCID:PMC6150949","pubmed","30025851","create date:2018/07/22 | first author:Trebaul L",
"Integrative Bayesian analysis of brain functional networks incorporating anatomical knowledge.","/pubmed/30017786","Higgins IA, Kundu S, Guo Y.","Neuroimage. 2018 Nov 1;181:263-278. doi: 10.1016/j.neuroimage.2018.07.015. Epub 2018 Jul 11.","Neuroimage.  2018","PubMed","citation","PMID:30017786 | PMCID:PMC6139051","pubmed","30017786","create date:2018/07/19 | first author:Higgins IA",
"Stability and reproducibility of co-electrospun brain-mimicking phantoms for quality assurance of diffusion MRI sequences.","/pubmed/29936312","Grech-Sollars M, Zhou FL, Waldman AD, Parker GJM, Hubbard Cristinacce PL.","Neuroimage. 2018 Nov 1;181:395-402. doi: 10.1016/j.neuroimage.2018.06.059. Epub 2018 Jun 22.","Neuroimage.  2018","PubMed","citation","PMID:29936312","pubmed","29936312","create date:2018/06/25 | first author:Grech-Sollars M",
"Application of diffusion tensor imaging in brain lesions: A comparative study of neoplastic and non-neoplastic brain lesions.","/pubmed/30504560","Soni N, Srindharan K, Kumar S, Bhaisora KS, Kalita J, Mehrotra A, Mishra P.","Neurol India. 2018 Nov-Dec;66(6):1667-1671. doi: 10.4103/0028-3886.246270.","Neurol India.  2018","PubMed","citation","PMID:30504560","pubmed","30504560","create date:2018/12/07 | first author:Soni N",
"A robust deconvolution method to disentangle multiple water pools in diffusion MRI.","/pubmed/30052293","De Luca A, Leemans A, Bertoldo A, Arrigoni F, Froeling M.","NMR Biomed. 2018 Nov;31(11):e3965. doi: 10.1002/nbm.3965. Epub 2018 Jul 27.","NMR Biomed.  2018","PubMed","citation","PMID:30052293 | PMCID:PMC6221109","pubmed","30052293","create date:2018/07/28 | first author:De Luca A",
"Monocyte depletion attenuates the development of posttraumatic hydrocephalus and preserves white matter integrity after traumatic brain injury.","/pubmed/30383765","Makinde HM, Just TB, Cuda CM, Bertolino N, Procissi D, Schwulst SJ.","PLoS One. 2018 Nov 1;13(11):e0202722. doi: 10.1371/journal.pone.0202722. eCollection 2018.","PLoS One.  2018","PubMed","citation","PMID:30383765 | PMCID:PMC6211627","pubmed","30383765","create date:2018/11/02 | first author:Makinde HM",
"The Role of Single Voxel MR Spectroscopy, T2 Relaxation Time and Apparent Diffusion Coefficient in Determining the Cellularity of Brain Tumors by MATLAB Software","/pubmed/30362318","Abdolmohammadi J, Faeghi F, Arefan D, Zali A, Haghighatkhah H, Amiri J.","Asian Pac J Cancer Prev. 2018 Oct 26;19(10):2891-2895.","Asian Pac J Cancer Prev.  2018","PubMed","citation","PMID:30362318 | PMCID:PMC6291043","pubmed","30362318","create date:2018/10/27 | first author:Abdolmohammadi J",
"An Efficient Method for Brain Tumor Detection Using Texture Features and SVM Classifier in MR Images","/pubmed/30360607","K KK, T MD, S M.","Asian Pac J Cancer Prev. 2018 Oct 26;19(10):2789-2794.","Asian Pac J Cancer Prev.  2018","PubMed","citation","PMID:30360607 | PMCID:PMC6291052","pubmed","30360607","create date:2018/10/27 | first author:K KK",
"White matter microstructural damage in early treated phenylketonuric patients.","/pubmed/30367646","González MJ, Polo MR, Ripollés P, Gassió R, Ormazabal A, Sierra C, Roura RC, Artuch R, Campistol J.","Orphanet J Rare Dis. 2018 Oct 26;13(1):188. doi: 10.1186/s13023-018-0912-5.","Orphanet J Rare Dis.  2018","PubMed","citation","PMID:30367646 | PMCID:PMC6203973","pubmed","30367646","create date:2018/10/28 | first author:González MJ",
"Apathy Is Correlated with Widespread Diffusion Tensor Imaging (DTI) Impairment in Amyotrophic Lateral Sclerosis.","/pubmed/30425751","Femiano C, Trojsi F, Caiazzo G, Siciliano M, Passaniti C, Russo A, Bisecco A, Cirillo M, Monsurrò MR, Esposito F, Tedeschi G, Santangelo G.","Behav Neurol. 2018 Oct 22;2018:2635202. doi: 10.1155/2018/2635202. eCollection 2018.","Behav Neurol.  2018","PubMed","citation","PMID:30425751 | PMCID:PMC6217902","pubmed","30425751","create date:2018/11/15 | first author:Femiano C",
"Data-driven brain network models differentiate variability across language tasks.","/pubmed/30332401","Bansal K, Medaglia JD, Bassett DS, Vettel JM, Muldoon SF.","PLoS Comput Biol. 2018 Oct 17;14(10):e1006487. doi: 10.1371/journal.pcbi.1006487. eCollection 2018 Oct.","PLoS Comput Biol.  2018","PubMed","citation","PMID:30332401 | PMCID:PMC6192563","pubmed","30332401","create date:2018/10/18 | first author:Bansal K",
"Ischemic stroke as a complication of cryptococcal meningitis and immune reconstitution inflammatory syndrome: a case report.","/pubmed/30326861","Ellis JP, Kalata N, Joekes EC, Kampondeni S, Benjamin LA, Harrison TS, Lalloo DG, Heyderman RS.","BMC Infect Dis. 2018 Oct 16;18(1):520. doi: 10.1186/s12879-018-3386-0.","BMC Infect Dis.  2018","PubMed","citation","PMID:30326861 | PMCID:PMC6192067","pubmed","30326861","create date:2018/10/18 | first author:Ellis JP",
"Cross-sectional white matter microstructure differences in age and trait mindfulness.","/pubmed/30321218","Boekel W, Hsieh S.","PLoS One. 2018 Oct 15;13(10):e0205718. doi: 10.1371/journal.pone.0205718. eCollection 2018.","PLoS One.  2018","PubMed","citation","PMID:30321218 | PMCID:PMC6188777","pubmed","30321218","create date:2018/10/16 | first author:Boekel W",
"Altered white matter connectivity in patients with schizophrenia: An investigation using public neuroimaging data from SchizConnect.","/pubmed/30300425","Joo SW, Yoon W, Shon SH, Kim H, Cha S, Park KJ, Lee J.","PLoS One. 2018 Oct 9;13(10):e0205369. doi: 10.1371/journal.pone.0205369. eCollection 2018.","PLoS One.  2018","PubMed","citation","PMID:30300425 | PMCID:PMC6177186","pubmed","30300425","create date:2018/10/10 | first author:Joo SW",
"Latent class analysis of attention and white matter correlation in children with attention-deficit/hyperactivity disorder.","/pubmed/30304132","Rossi ASU, Moura LM, Miranda MC, Muszkat M, Mello CB, Bueno OFA.","Braz J Med Biol Res. 2018 Oct 4;51(11):e7653. doi: 10.1590/1414-431X20187653.","Braz J Med Biol Res.  2018","PubMed","citation","PMID:30304132 | PMCID:PMC6172928","pubmed","30304132","create date:2018/10/12 | first author:Rossi ASU",
"Lower Prefrontal and Hippocampal Volume and Diffusion Tensor Imaging Differences Reflect Structural and Functional Abnormalities in Abstinent Individuals with Alcohol Use Disorder.","/pubmed/30118142","Pandey AK, Ardekani BA, Kamarajan C, Zhang J, Chorlian DB, Byrne KN, Pandey G, Meyers JL, Kinreich S, Stimus A, Porjesz B.","Alcohol Clin Exp Res. 2018 Oct;42(10):1883-1896. doi: 10.1111/acer.13854. Epub 2018 Aug 17.","Alcohol Clin Exp Res.  2018","PubMed","citation","PMID:30118142 | PMCID:PMC6167190","pubmed","30118142","create date:2018/08/18 | first author:Pandey AK",
"In vivo characterization of white matter pathology in premanifest huntington's disease.","/pubmed/30063250","Zhang J, Gregory S, Scahill RI, Durr A, Thomas DL, Lehericy S, Rees G, Tabrizi SJ, Zhang H; TrackOn-HD investigators..","Ann Neurol. 2018 Oct;84(4):497-504. doi: 10.1002/ana.25309. Epub 2018 Sep 15.","Ann Neurol.  2018","PubMed","citation","PMID:30063250 | PMCID:PMC6221120","pubmed","30063250","create date:2018/08/01 | first author:Zhang J",
"White matter diffusion alterations precede symptom onset in autosomal dominant Alzheimer's disease.","/pubmed/30239611","Araque Caballero MÁ, Suárez-Calvet M, Duering M, Franzmeier N, Benzinger T, Fagan AM, Bateman RJ, Jack CR, Levin J, Dichgans M, Jucker M, Karch C, Masters CL, Morris JC, Weiner M, Rossor M, Fox NC, Lee JH, Salloway S, Danek A, Goate A, Yakushev I, et al.","Brain. 2018 Oct 1;141(10):3065-3080. doi: 10.1093/brain/awy229.","Brain.  2018","PubMed","citation","PMID:30239611 | PMCID:PMC6158739","pubmed","30239611","create date:2018/09/22 | first author:Araque Caballero MÁ",
"Impaired white matter integrity between premotor cortex and basal ganglia in writer's cramp.","/pubmed/30239158","Berndt M, Li Y, Gora-Stahlberg G, Jochim A, Haslinger B.","Brain Behav. 2018 Oct;8(10):e01111. doi: 10.1002/brb3.1111. Epub 2018 Sep 21.","Brain Behav.  2018","PubMed","citation","PMID:30239158 | PMCID:PMC6192408","pubmed","30239158","create date:2018/09/22 | first author:Berndt M",
"Problem Drinking, Alcohol Expectancy, and Thalamic Resting-State Functional Connectivity in Nondependent Adult Drinkers.","/pubmed/30198312","Zhornitsky S, Ide JS, Wang W, Chao HH, Zhang S, Hu S, Krystal JH, Li CR.","Brain Connect. 2018 Oct;8(8):487-502. doi: 10.1089/brain.2018.0633.","Brain Connect.  2018","PubMed","citation","PMID:30198312 | PMCID:PMC6207153","pubmed","30198312","create date:2018/09/11 | first author:Zhornitsky S",
"White matter integrity in the fronto-striatal accumbofrontal tract predicts impulsivity.","/pubmed/29302916","Ikuta T, Del Arco A, Karlsgodt KH.","Brain Imaging Behav. 2018 Oct;12(5):1524-1528. doi: 10.1007/s11682-017-9820-x.","Brain Imaging Behav.  2018","PubMed","citation","PMID:29302916 | PMCID:PMC6034998","pubmed","29302916","create date:2018/01/06 | first author:Ikuta T",
